"id","ProviderStreetAddress","ProviderCity","ProviderStateCode","ProviderZIP5"
1,"2000 SW ARCHER RD FL 4","GAINESVILLE","FL",32608
2,"6228 NW 43RD ST STE B","GAINESVILLE","FL",32653
3,"9150 SW 49TH PL STE A","GAINESVILLE","FL",32608
4,"1699 SW 16TH AVE","GAINESVILLE","FL",32608
5,"4343 W NEWBERRY RD STE 13","GAINESVILLE","FL",32607
6,"2000 SW ARCHER RD","GAINESVILLE","FL",32610
7,"1600 SW ARCHER RD","GAINESVILLE","FL",32610
8,"2205 NW 40TH TER STE C","GAINESVILLE","FL",32605
9,"1707 N MAIN ST","GAINESVILLE","FL",32609
10,"6800 NW 9TH BLVD STE 4","GAINESVILLE","FL",32605
11,"6500 W NEWBERRY RD","GAINESVILLE","FL",32605
12,"100 SW 75TH ST STE 103","GAINESVILLE","FL",32607
13,"4343 W NEWBERRY RD STE 12","GAINESVILLE","FL",32607
14,"2205 NW 40TH TER STE C","GAINESVILLE","FL",32605
15,"1600 SW ARCHER RD","GAINESVILLE","FL",32610
16,"6900 NW 9TH BLVD","GAINESVILLE","FL",32605
17,"6900 NW 9TH BLVD","GAINESVILLE","FL",32605
18,"280 FLETCHER DR","GAINESVILLE","FL",32611
19,"7540 W UNIVERSITY AVE","GAINESVILLE","FL",32607
20,"4410 W NEWBERRY RD STE B","GAINESVILLE","FL",32607
21,"4611 NW 53RD AVE","GAINESVILLE","FL",32653
22,"810 NW 16TH AVE","GAINESVILLE","FL",32601
23,"2846 SW 87TH WAY","GAINESVILLE","FL",32608
24,"200 SW 62ND BLVD STE D","GAINESVILLE","FL",32607
25,"4525 SW 13TH ST","GAINESVILLE","FL",32608
26,"6900 NW 9TH BLVD","GAINESVILLE","FL",32605
27,"7540 W UNIVERSITY AVE","GAINESVILLE","FL",32607
28,"1130 NW 64TH TER","GAINESVILLE","FL",32605
29,"6500 W NEWBERRY RD","GAINESVILLE","FL",32605
30,"6900 NW 9TH BLVD","GAINESVILLE","FL",32605
31,"6900 NW 9TH BLVD","GAINESVILLE","FL",32605
32,"7046 SW ARCHER RD","GAINESVILLE","FL",32608
33,"200 SW 62ND BLVD STE D","GAINESVILLE","FL",32607
34,"1600 SW ARCHER RD","GAINESVILLE","FL",32610
35,"4300 SW 13TH ST","GAINESVILLE","FL",32608
36,"224 SE 24TH ST","GAINESVILLE","FL",32641
37,"4740 NW 39TH PL STE B","GAINESVILLE","FL",32606
38,"6900 NW 9TH BLVD","GAINESVILLE","FL",32605
39,"810 NW 16TH AVE","GAINESVILLE","FL",32601
40,"1600 SW ARCHER RD","GAINESVILLE","FL",32610
41,"2341 NW 41ST ST STE B","GAINESVILLE","FL",32606
42,"1130 NW 64 TERR N END","GAINESVILLE","FL",32605
43,"4740 NW 39TH PL STE C","GAINESVILLE","FL",32606
44,"1600 SW ARCHER RD","GAINESVILLE","FL",32610
45,"2846 SW 87TH WAY","GAINESVILLE","FL",32608
46,"1699 SW 16TH AVE","GAINESVILLE","FL",32608
47,"280 FLETCHER DR","GAINESVILLE","FL",32611
48,"4343 W NEWBERRY RD STE 11","GAINESVILLE","FL",32607
49,"6400 W NEWBERRY RD STE 104","GAINESVILLE","FL",32605
50,"1600 SW ARCHER RD","GAINESVILLE","FL",32610
51,"1699 SW 16TH AVE","GAINESVILLE","FL",32608
52,"6510 NW 9TH BLVD STE 3","GAINESVILLE","FL",32605
53,"926 NORTH WEST 13TH ST","GAINESVILLE","FL",32601
54,"4343 W NEWBERRY RD STE 11","GAINESVILLE","FL",32607
55,"3450 HULL RD","GAINESVILLE","FL",32607
56,"2205 NW 40TH TER STE C","GAINESVILLE","FL",32605
57,"3601 SW 2ND AVE STE B","GAINESVILLE","FL",32607
58,"280 FLETCHER DR","GAINESVILLE","FL",32611
59,"2004 MOWRY RD FL 1","GAINESVILLE","FL",32610
60,"1600 SW ANCHOR RD","GAINESVILLE","FL",32610
61,"7540 W UNIVERSITY AVE","GAINESVILLE","FL",32607
62,"2000 SW ARCHER RD FL 4","GAINESVILLE","FL",32608
63,"4500 W NEWBERRY RD","GAINESVILLE","FL",32607
64,"1600 SW ARCHER RD RM D2-49","GAINESVILLE","FL",32610
65,"4011 NW 43RD ST STE A","GAINESVILLE","FL",32606
66,"7540 W UNIVERSITY AVE","GAINESVILLE","FL",32607
67,"1600 SW ARCHER RD","GAINESVILLE","FL",32610
68,"4410 W NEWBERRY RD STE B","GAINESVILLE","FL",32607
69,"6900 NW 9TH BLVD","GAINESVILLE","FL",32605
70,"7540 W UNIVERSITY AVE","GAINESVILLE","FL",32607
71,"1707 N MAIN ST","GAINESVILLE","FL",32609
72,"4343 W NEWBERRY RD","GAINESVILLE","FL",32607
73,"625 SW 4TH AVE","GAINESVILLE","FL",32601
74,"2000 SW ARCHER RD","GAINESVILLE","FL",32608
75,"6900 NW 9TH BLVD","GAINESVILLE","FL",32605
76,"4343 W NEWBERRY RD STE 11","GAINESVILLE","FL",32607
77,"1699 SW 16TH AVE","GAINESVILLE","FL",32608
78,"4750 SW 91ST DR STE A","GAINESVILLE","FL",32608
79,"4750 SW 91ST DR STE A","GAINESVILLE","FL",32608
80,"6500 W NEWBERRY RD","GAINESVILLE","FL",32605
81,"4340 NEWBERRY RD STE 301","GAINESVILLE","FL",32607
82,"280 FLETCHER DR","GAINESVILLE","FL",32611
83,"6400 W NEWBERRY RD STE 302","GAINESVILLE","FL",32605
84,"4410 W NEWBERRY RD STE B","GAINESVILLE","FL",32607
85,"4343 W NEWBERRY RD STE 12","GAINESVILLE","FL",32607
86,"4343 W NEWBERRY RD STE 13","GAINESVILLE","FL",32607
87,"810 NW 16TH AVE","GAINESVILLE","FL",32601
88,"200 SW 62ND BLVD STE D","GAINESVILLE","FL",32607
89,"810 NW 16TH AVE","GAINESVILLE","FL",32601
90,"3450 HULL RD","GAINESVILLE","FL",32607
91,"4343 W NEWBERRY RD STE 10","GAINESVILLE","FL",32607
92,"1600 SW ARCHER RD RM D2-49","GAINESVILLE","FL",32610
93,"410 NE WALDO RD","GAINESVILLE","FL",32641
94,"410 NE WALDO RD","GAINESVILLE","FL",32641
95,"2846 SW 87TH WAY","GAINESVILLE","FL",32608
96,"2000 SW ARCHER RD","GAINESVILLE","FL",32608
97,"1707 N MAIN ST","GAINESVILLE","FL",32609
98,"1130 NW 64TH TER","GAINESVILLE","FL",32605
99,"2000 SW ARCHER RD FL 4","GAINESVILLE","FL",32608
100,"6021 NW 1ST PL","GAINESVILLE","FL",32607
101,"280 FLETCHER DR","GAINESVILLE","FL",32611
102,"4343 W NEWBERRY RD STE 10","GAINESVILLE","FL",32607
103,"4423 NW 6TH PL STE A","GAINESVILLE","FL",32607
104,"605 NE 1ST ST","GAINESVILLE","FL",32601
105,"4101 NW 89TH BLVD","GAINESVILLE","FL",32606
106,"4410 W NEWBERRY RD STE B","GAINESVILLE","FL",32607
107,"280 FLETCHER DR","GAINESVILLE","FL",32611
108,"2000 SW ARCHER RD FL 4","GAINESVILLE","FL",32608
109,"224 SE 24TH ST","GAINESVILLE","FL",32641
110,"1707 N MAIN ST","GAINESVILLE","FL",32609
111,"926 NW 13TH ST","GAINESVILLE","FL",32601
112,"4881 NW 8 AVE STE 2","GAINESVILLE","FL",32605
113,"3600 NW 43RD ST","GAINESVILLE","FL",32606
114,"4343 W NEWBERRY RD STE 12","GAINESVILLE","FL",32607
115,"2000 SW ARCHER RD FL 4","GAINESVILLE","FL",32608
116,"3450 HULL RD","GAINESVILLE","FL",32607
117,"3780 NW 83RD ST","GAINESVILLE","FL",32606
118,"2000 SW ARCHER RD FL 4","GAINESVILLE","FL",32608
119,"1014 NW 57TH ST","GAINESVILLE","FL",32605
120,"6400 W NEWBERRY RD STE 109","GAINESVILLE","FL",32605
121,"7550 W UNIVERSITY AVE STE B","GAINESVILLE","FL",32607
122,"2000 SW ARCHER RD","GAINESVILLE","FL",32608
123,"4011 NW 43RD ST STE A","GAINESVILLE","FL",32606
124,"4343 W NEWBERRY RD STE 11","GAINESVILLE","FL",32607
125,"1130 NW 64TH TER","GAINESVILLE","FL",32605
126,"7540 W UNIVERSITY AVE","GAINESVILLE","FL",32607
127,"1600 SW ARCHER RD","GAINESVILLE","FL",32610
128,"1600 SW ARCHER RD","GAINESVILLE","FL",32610
129,"4881 NW 8TH AVE STE 2","GAINESVILLE","FL",32605
130,"7540 W UNIVERSITY AVE","GAINESVILLE","FL",32607
131,"1600 SW ARCHER RD","GAINESVILLE","FL",32610
132,"1151 NW 64TH TER","GAINESVILLE","FL",32605
133,"4343 W NEWBERRY RD STE 12","GAINESVILLE","FL",32607
134,"1600 SW ARCHER RD","GAINESVILLE","FL",32610
135,"280 FLETCHER DR","GAINESVILLE","FL",32611
136,"6900 NW 9TH BLVD","GAINESVILLE","FL",32605
137,"720 SW 2ND AVE STE 250","GAINESVILLE","FL",32601
138,"6821 NW 11TH PLACE","GAINESVILLE","FL",32605
139,"1699 SW 16TH AVE","GAINESVILLE","FL",32608
